#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-04 23:11:50
#Remark: format CLF
#Fields: c-ip rfc-931 user date time http-request sc-status bytes_sent
127.0.0.1 - ELC Ariba User [05/Jul/2024:03:11:50 -429496729200] "POST /ELCAriba/ HTTP/1.1" 200 6
#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-04 23:19:04
#Remark: format ELF
#Fields: bytes_sent cs-cdns c-ip cs(cookie) cs(host) cs(referer) cs(user-agent) user method cs-sip sc-status cs-uri cs-uri-query cs-uri-stem date time time-taken
0 10.0.0.162 10.0.0.162 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 10.0.0.162 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 18:46:04 18:46:04 17948
0 10.0.0.162 10.0.0.162 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 10.0.0.162 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 18:47:39 18:47:39 62850
6 10.0.0.162 10.0.0.162 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 10.0.0.162 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 18:51:13 18:51:13 182385
6 10.0.0.162 10.0.0.162 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 10.0.0.162 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 19:03:47 19:03:47 10071
6 10.0.0.162 10.0.0.162 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 10.0.0.162 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 19:05:49 19:05:49 35671
#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-05 16:03:46
#Remark: format ELF
#Fields: bytes_sent cs-cdns c-ip cs(cookie) cs(host) cs(referer) cs(user-agent) user method cs-sip sc-status cs-uri cs-uri-query cs-uri-stem date time time-taken
3 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:03:46 20:03:46 7
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:04:07 20:04:07 149634
3 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:04:18 20:04:18 8
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:06:08 20:06:08 6369
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:07:18 20:07:18 43027
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:07:21 20:07:21 61240
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:09:02 20:09:02 89837
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 20:09:04 20:09:04 96475
#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-05 22:05:27
#Remark: format ELF
#Fields: bytes_sent cs-cdns c-ip cs(cookie) cs(host) cs(referer) cs(user-agent) user method cs-sip sc-status cs-uri cs-uri-query cs-uri-stem date time time-taken
3 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 551 /ELCAriba/ - /ELCAriba/ 2024-07-06 02:05:27 02:05:27 112439
3 127.0.0.1 127.0.0.1 "4DSID_ArkayB2B=1275751655C14B5CB5397C7E056BF884; 4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 551 /ELCAriba/ - /ELCAriba/ 2024-07-06 02:08:22 02:08:22 67527
6 127.0.0.1 127.0.0.1 "4DSID_ArkayB2B=1275751655C14B5CB5397C7E056BF884; 4DSID_testOnWeb=E6339648D7564A7498C3D8853614B70A" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-06 02:11:02 02:11:02 77842
